ID,path,name,make,model,is_animal,date,time,mega,Marco,Marco_sub
DGFC_59,/var/home/akin/Untitled Folder/web_app/sep_pics/1/no_animals/image36.jpg,image36.jpg,RECONYX,PC800 PROFESSIONAL, False,2015-04-21,14:13:37,"empty, prob =0.000","blank, prob =0.9796","HUMAN, prob =0.3694"
DGFC_60,/var/home/akin/Untitled Folder/web_app/sep_pics/1/no_animals/image37.jpg,image37.jpg,RECONYX,PC800 PROFESSIONAL, False,2015-04-22,01:54:14,"empty, prob =0.000","blank, prob =0.8388","bushbuck, prob =0.0777"
DGFC_61,/var/home/akin/Untitled Folder/web_app/sep_pics/1/no_animals/image38.jpg,image38.jpg,RECONYX,PC800 PROFESSIONAL, False,2015-04-22,01:54:15,"empty, prob =0.000","blank, prob =0.8014","giraffe, prob =0.0763"
DGFC_62,/var/home/akin/Untitled Folder/web_app/sep_pics/1/no_animals/image39.jpg,image39.jpg,RECONYX,PC800 PROFESSIONAL, False,2015-04-23,00:54:14,"empty, prob =0.000","blank, prob =0.8905","wildebeest, prob =0.0961"
DGFC_63,/var/home/akin/Untitled Folder/web_app/sep_pics/1/no_animals/image40.jpg,image40.jpg,RECONYX,PC800 PROFESSIONAL, False,2015-04-25,03:53:27,"empty, prob =0.000","blank, prob =0.7075","wildebeest, prob =0.0904"
DGFC_64,/var/home/akin/Untitled Folder/web_app/sep_pics/1/no_animals/image41.jpg,image41.jpg,RECONYX,PC800 PROFESSIONAL, False,2015-04-25,06:15:54,"empty, prob =0.000","blank, prob =0.9031","zebra, prob =0.4722"
DGFC_65,/var/home/akin/Untitled Folder/web_app/sep_pics/1/no_animals/image42.jpg,image42.jpg,RECONYX,PC800 PROFESSIONAL, False,2015-04-25,06:15:57,"empty, prob =0.000","blank, prob =0.9243","zebra, prob =0.4579"
DGFC_66,/var/home/akin/Untitled Folder/web_app/sep_pics/1/no_animals/image43.jpg,image43.jpg,RECONYX,PC800 PROFESSIONAL, False,2015-04-25,06:15:58,"empty, prob =0.000","blank, prob =0.9181","zebra, prob =0.4043"
DGFC_67,/var/home/akin/Untitled Folder/web_app/sep_pics/1/no_animals/image44.jpg,image44.jpg,RECONYX,PC800 PROFESSIONAL, False,2015-04-25,21:40:59,"empty, prob =0.000","blank, prob =0.6653","giraffe, prob =0.1914"
DGFC_68,/var/home/akin/Untitled Folder/web_app/sep_pics/1/no_animals/image45.jpg,image45.jpg,RECONYX,PC800 PROFESSIONAL, False,2015-04-28,06:24:57,"empty, prob =0.000","blank, prob =0.8954","warthog, prob =0.4041"
DGFC_69,/var/home/akin/Untitled Folder/web_app/sep_pics/1/no_animals/image46.jpg,image46.jpg,RECONYX,PC800 PROFESSIONAL, False,2015-04-29,09:55:16,"empty, prob =0.000","blank, prob =0.9494","HUMAN, prob =0.2009"
DGFC_70,/var/home/akin/Untitled Folder/web_app/sep_pics/1/no_animals/image47.jpg,image47.jpg,RECONYX,PC800 PROFESSIONAL, False,2015-04-29,09:55:18,"empty, prob =0.000","blank, prob =0.9762","HUMAN, prob =0.1773"
DGFC_71,/var/home/akin/Untitled Folder/web_app/sep_pics/1/no_animals/image48.jpg,image48.jpg,RECONYX,PC800 PROFESSIONAL, False,2015-04-29,13:45:48,"empty, prob =0.000","blank, prob =0.8932","wildebeest, prob =0.3328"
DGFC_72,/var/home/akin/Untitled Folder/web_app/sep_pics/1/no_animals/image49.jpg,image49.jpg,RECONYX,PC800 PROFESSIONAL, False,2015-04-29,14:07:56,"empty, prob =0.000","blank, prob =0.9690","warthog, prob =0.2680"
DGFC_73,/var/home/akin/Untitled Folder/web_app/sep_pics/1/no_animals/image50.jpg,image50.jpg,RECONYX,PC800 PROFESSIONAL, False,2015-04-29,14:07:58,"empty, prob =0.000","blank, prob =0.9550","warthog, prob =0.2279"
DGFC_74,/var/home/akin/Untitled Folder/web_app/sep_pics/1/no_animals/image51.jpg,image51.jpg,RECONYX,PC800 PROFESSIONAL, False,2015-04-29,14:08:00,"empty, prob =0.000","blank, prob =0.9653","wildebeest, prob =0.2809"
DGFC_75,/var/home/akin/Untitled Folder/web_app/sep_pics/1/no_animals/image52.jpg,image52.jpg,RECONYX,PC800 PROFESSIONAL, False,2015-04-29,14:08:50,"empty, prob =0.000","blank, prob =0.9402","warthog, prob =0.5068"
DGFC_76,/var/home/akin/Untitled Folder/web_app/sep_pics/1/no_animals/image53.jpg,image53.jpg,RECONYX,PC800 PROFESSIONAL, False,2015-04-30,21:06:35,"empty, prob =0.000","vehicle, prob =0.4378","elephant, prob =0.1882"
DGFC_77,/var/home/akin/Untitled Folder/web_app/sep_pics/1/no_animals/image54.jpg,image54.jpg,RECONYX,PC800 PROFESSIONAL, False,2015-04-30,21:06:37,"empty, prob =0.000","Animal, prob =0.4166","elephant, prob =0.1777"
DGFC_78,/var/home/akin/Untitled Folder/web_app/sep_pics/1/no_animals/image55.jpg,image55.jpg,RECONYX,PC800 PROFESSIONAL, False,2015-01-05,01:54:22,"empty, prob =0.000","blank, prob =0.5221","monkeybaboon, prob =0.6069"
DGFC_79,/var/home/akin/Untitled Folder/web_app/sep_pics/1/no_animals/image56.jpg,image56.jpg,RECONYX,PC800 PROFESSIONAL, False,2015-01-05,01:54:24,"empty, prob =0.000","Animal, prob =0.5146","monkeybaboon, prob =0.6202"
DGFC_80,/var/home/akin/Untitled Folder/web_app/sep_pics/1/no_animals/image57.jpg,image57.jpg,RECONYX,PC800 PROFESSIONAL, False,2015-01-05,18:02:35,"empty, prob =0.000","blank, prob =0.9769","giraffe, prob =0.2219"
DGFC_81,/var/home/akin/Untitled Folder/web_app/sep_pics/1/no_animals/image58.jpg,image58.jpg,RECONYX,PC800 PROFESSIONAL, False,2015-01-05,19:23:28,"empty, prob =0.000","blank, prob =0.8928","bushbuck, prob =0.0826"
DGFC_82,/var/home/akin/Untitled Folder/web_app/sep_pics/1/no_animals/image59.jpg,image59.jpg,RECONYX,PC800 PROFESSIONAL, False,2015-01-05,19:23:29,"empty, prob =0.000","blank, prob =0.8951","bushbuck, prob =0.0953"
DGFC_83,/var/home/akin/Untitled Folder/web_app/sep_pics/1/no_animals/image60.jpg,image60.jpg,RECONYX,PC800 PROFESSIONAL, False,2015-02-05,00:36:43,"empty, prob =0.000","blank, prob =0.6985","rhino, prob =0.1893"
DGFC_84,/var/home/akin/Untitled Folder/web_app/sep_pics/1/no_animals/image61.jpg,image61.jpg,RECONYX,PC800 PROFESSIONAL, False,2015-02-05,00:36:54,"empty, prob =0.000","blank, prob =0.7641","bushbuck, prob =0.1086"
DGFC_85,/var/home/akin/Untitled Folder/web_app/sep_pics/1/no_animals/image62.jpg,image62.jpg,RECONYX,PC800 PROFESSIONAL, False,2015-02-05,00:36:55,"empty, prob =0.000","blank, prob =0.8409","bushbuck, prob =0.1043"
DGFC_86,/var/home/akin/Untitled Folder/web_app/sep_pics/1/no_animals/image63.jpg,image63.jpg,RECONYX,PC800 PROFESSIONAL, False,2015-05-19,15:30:19,"empty, prob =0.000","blank, prob =0.8161","warthog, prob =0.5726"
DGFC_87,/var/home/akin/Untitled Folder/web_app/sep_pics/1/no_animals/image64.jpg,image64.jpg,RECONYX,PC800 PROFESSIONAL, False,2015-05-20,19:08:33,"empty, prob =0.000","blank, prob =0.8390","bushbuck, prob =0.1270"
DGFC_88,/var/home/akin/Untitled Folder/web_app/sep_pics/1/no_animals/image65.jpg,image65.jpg,RECONYX,PC800 PROFESSIONAL, False,2015-05-21,05:14:34,"empty, prob =0.000","blank, prob =0.8856","giraffe, prob =0.1416"
DGFC_89,/var/home/akin/Untitled Folder/web_app/sep_pics/1/no_animals/image66.jpg,image66.jpg,RECONYX,PC800 PROFESSIONAL, False,2015-03-06,17:10:23,"empty, prob =0.000","blank, prob =0.9430","zebra, prob =0.8178"
DGFC_90,/var/home/akin/Untitled Folder/web_app/sep_pics/1/no_animals/anno_image13.jpg,anno_image13.jpg,RECONYX,PC800 PROFESSIONAL, False,2015-06-29,23:42:53,"Animal, prob = 0.107","Animal, prob =0.8446","impala, prob =0.3457"
DGFC_91,/var/home/akin/Untitled Folder/web_app/sep_pics/1/no_animals/anno_image26.jpg,anno_image26.jpg,RECONYX,PC800 PROFESSIONAL, False,2015-03-29,08:18:59,"Animal, prob = 0.131","Animal, prob =0.6920","HUMAN, prob =0.5478"
DGFC_92,/var/home/akin/Untitled Folder/web_app/sep_pics/1/no_animals/anno_image29.jpg,anno_image29.jpg,RECONYX,PC800 PROFESSIONAL, False,2015-03-30,22:35:03,"Animal, prob = 0.57","Animal, prob =0.7101","rhino, prob =0.4231"
DGFC_93,/var/home/akin/Untitled Folder/web_app/sep_pics/1/no_animals/anno_image54.jpg,anno_image54.jpg,RECONYX,PC800 PROFESSIONAL, False,2015-03-30,21:06:37,"empty, prob =0.000","Animal, prob =0.4166","elephant, prob =0.1777"
DGFC_94,/var/home/akin/Untitled Folder/web_app/sep_pics/1/no_animals/anno_image56.jpg,anno_image56.jpg,RECONYX,PC800 PROFESSIONAL, False,2015-01-05,01:54:24,"empty, prob =0.000","Animal, prob =0.5146","monkeybaboon, prob =0.6202"
